accuracy,loss,val_accuracy,val_loss,learning_rate
0.7464572191238403,0.452336847782135,0.6040841937065125,0.685368537902832,0.0010000000474974513
0.7740700244903564,0.4241897761821747,0.5883517265319824,0.7081467509269714,0.0010000000474974513
0.7788371443748474,0.41778719425201416,0.6002292037010193,0.6835126876831055,0.0010000000474974513
0.7818589210510254,0.4135877192020416,0.5977286696434021,0.6783050894737244,0.0010000000474974513
0.7803740501403809,0.4098372459411621,0.6097103357315063,0.666654646396637,0.0010000000474974513
0.7804000973701477,0.407277911901474,0.6121066808700562,0.6555721163749695,0.0010000000474974513
0.7823278307914734,0.40475717186927795,0.6154407262802124,0.6631413698196411,0.0010000000474974513
0.7820412516593933,0.40136611461639404,0.6040841937065125,0.6794652342796326,0.0010000000474974513
0.7807648181915283,0.3994227945804596,0.6208584904670715,0.6524302959442139,0.0010000000474974513
0.7808429598808289,0.40037351846694946,0.6191915273666382,0.6521152257919312,0.0010000000474974513
0.7777690887451172,0.395571768283844,0.613982081413269,0.6592922806739807,0.0010000000474974513
0.7773783206939697,0.3936467468738556,0.6126276254653931,0.6490780115127563,0.0010000000474974513
0.776362419128418,0.3915264308452606,0.6357574462890625,0.6200641989707947,0.0010000000474974513
0.7812597751617432,0.38809773325920105,0.6295061707496643,0.619789183139801,0.0010000000474974513
0.7802959084510803,0.3831205666065216,0.6168993711471558,0.6286482810974121,0.0010000000474974513
0.7794362902641296,0.38082367181777954,0.623984158039093,0.6241179704666138,0.0010000000474974513
0.780009388923645,0.37915414571762085,0.6321108341217041,0.6403887271881104,0.0010000000474974513
0.7813118696212769,0.37498223781585693,0.620441734790802,0.6443777680397034,0.0010000000474974513
0.7813379168510437,0.3732408881187439,0.6336736679077148,0.6369400024414062,0.0010000000474974513
0.7788631916046143,0.3706434965133667,0.6274223923683167,0.6306188702583313,0.0010000000474974513
0.782093346118927,0.3648575246334076,0.6122108697891235,0.6315878033638,0.0010000000474974513
0.7871991395950317,0.353729784488678,0.6444050669670105,0.5898452997207642,0.0005000000237487257
0.7922006845474243,0.345871239900589,0.6527401804924011,0.5906240344047546,0.0005000000237487257
0.7935813069343567,0.3420880138874054,0.6499270796775818,0.5985295176506042,0.0005000000237487257
0.7959778904914856,0.33986327052116394,0.6458637118339539,0.6030461192131042,0.0005000000237487257
0.7975148558616638,0.33568036556243896,0.6541987657546997,0.5963277220726013,0.0005000000237487257
0.8011097311973572,0.32801616191864014,0.6772243976593018,0.5638316869735718,0.0005000000237487257
0.8053818941116333,0.3261706531047821,0.6706605553627014,0.588183581829071,0.0005000000237487257
0.8092111945152283,0.31882166862487793,0.6663888096809387,0.5841548442840576,0.0005000000237487257
0.8099145293235779,0.3213493227958679,0.6640967130661011,0.6271356344223022,0.0005000000237487257
0.8170521855354309,0.31453827023506165,0.6712856888771057,0.587517499923706,0.0005000000237487257
0.8156455159187317,0.3096069097518921,0.6636799573898315,0.5920235514640808,0.0005000000237487257
0.8201000094413757,0.3085128664970398,0.691394031047821,0.5919439792633057,0.0005000000237487257
0.8245806097984314,0.30652740597724915,0.6773285865783691,0.6045269966125488,0.0005000000237487257
0.8228092193603516,0.3010183870792389,0.7061887979507446,0.5629055500030518,0.0002500000118743628
0.831327497959137,0.2880483865737915,0.685455322265625,0.5896351933479309,0.0002500000118743628
0.8338543176651001,0.2808992564678192,0.6975411772727966,0.586409330368042,0.0002500000118743628
0.8329165577888489,0.28152772784233093,0.6945196986198425,0.5860404968261719,0.0002500000118743628
0.8362769484519958,0.27512213587760925,0.7053552865982056,0.5752671957015991,0.0002500000118743628
0.8356778025627136,0.2766421139240265,0.708480954170227,0.569566011428833,0.0002500000118743628
0.8392205834388733,0.2740965783596039,0.7223379611968994,0.5578368306159973,0.0002500000118743628
0.8431020379066467,0.2667425870895386,0.7234840393066406,0.5597513914108276,0.0002500000118743628
0.8434146046638489,0.2670099437236786,0.7134819626808167,0.5696607828140259,0.0002500000118743628
0.8438835144042969,0.2654236853122711,0.7035840749740601,0.5710563063621521,0.0002500000118743628
0.845941424369812,0.2648230791091919,0.7210877537727356,0.5557354688644409,0.0002500000118743628
0.8480775356292725,0.2605806589126587,0.7158783078193665,0.5682575106620789,0.0002500000118743628
0.8494842052459717,0.25728896260261536,0.7275474071502686,0.5694128274917603,0.0002500000118743628
0.8507345914840698,0.2568366229534149,0.7352573275566101,0.5657154321670532,0.0002500000118743628
0.8546420931816101,0.25360530614852905,0.7225463390350342,0.564827561378479,0.0002500000118743628
0.853886604309082,0.2523825168609619,0.7226505279541016,0.5768887400627136,0.0002500000118743628
0.8534438014030457,0.2521989345550537,0.7360908389091492,0.550722062587738,0.0002500000118743628
0.8578722476959229,0.2474021166563034,0.7361950278282166,0.5549651384353638,0.0002500000118743628
0.8549546599388123,0.25101134181022644,0.7405709624290466,0.5475732088088989,0.0002500000118743628
0.8576117753982544,0.24442599713802338,0.744425892829895,0.542517364025116,0.0002500000118743628
0.8622485995292664,0.2414555847644806,0.7392165064811707,0.5557072758674622,0.0002500000118743628
0.8576117753982544,0.24553528428077698,0.7244217395782471,0.5811382532119751,0.0002500000118743628
0.8603469729423523,0.23975275456905365,0.740675151348114,0.5613170266151428,0.0002500000118743628
0.8619360327720642,0.24240796267986298,0.7514065504074097,0.5485657453536987,0.0002500000118743628
0.863238513469696,0.23659959435462952,0.7494269609451294,0.5664834976196289,0.0002500000118743628
0.8644628524780273,0.23476547002792358,0.7392165064811707,0.5678420066833496,0.0002500000118743628
0.8615973591804504,0.23799218237400055,0.7413002848625183,0.5690239071846008,0.0002500000118743628
0.865791380405426,0.2276993840932846,0.7548447847366333,0.5652938485145569,0.0001250000059371814
0.8720433712005615,0.2202880084514618,0.7622421383857727,0.5570949912071228,0.0001250000059371814
0.8731634616851807,0.22059302031993866,0.7627630829811096,0.5635414719581604,0.0001250000059371814
0.873580276966095,0.2186565399169922,0.7554699182510376,0.586231529712677,0.0001250000059371814
0.8733718991279602,0.21843241155147552,0.7591164708137512,0.5621320009231567,0.0001250000059371814
0.8733458518981934,0.2186345010995865,0.7476557493209839,0.5959693193435669,0.0001250000059371814
0.8729029893875122,0.21742123365402222,0.7496353387832642,0.5845478177070618,0.0001250000059371814
0.8738408088684082,0.21381933987140656,0.7583871483802795,0.5747285485267639,6.25000029685907e-05
